ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism
14,suzuki2020lifttiles,2020,1.2.2 Shape,3.0 Static Contact,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,5.0 Modularization
14,suzuki2020lifttiles,2020,1.2.2 Shape,3.0 Static Contact,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
15,carter2013ultrahaptics,2013,3.0 Abstracted,None,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
16,kim2013tactile,2013,1.1.3 Texture,1.0 Lateral Motion,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
17,sonar2016soft,2015,Not Specified,None,2.0 Vibration,Not specified,Not Specified,1.0 Off-The-Shelf Components,None
18,stanley2014d13,2015,1.1.1 Compliance,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,Others
18,stanley2014d13,2015,1.2.2 Shape,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,Others
19,gugenheimer2016gyrovr,2016,2.0 Effects,None,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others
20,teng2019aarnio,2019,2.0 Effects,None,2.3 Forces/Constraint Across Joint,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
21,ye2019pull,2019,2.0 Effects,None,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,None
22,cheng2017mutual,2017,2.0 Effects,None,Others,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,Others,None
23,cheng2015turkdeck,2015,All,3.0 Static Contact,1.0 Whole Proximate Object,1.0 Encountered/free gesture,4.0 Moving-Off-Body,Others,6.0 Movement Platform + Props
24,suzuki2020roomshift,2020,All,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,4.0 Moving-Off-Body,1.0 Off-The-Shelf Components,6.0 Movement Platform + Props
25,kim2013haptic,2013,1.4  Mechanical Mechanisms,9.1. Tool-Mediated,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
26,whitmire2018haptic,2018,All,3.0 Static Contact,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others
27,hoppe2018vrhapticdrones,2018,All,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,4.0 Moving-Off-Body,1.0 Off-The-Shelf Components,None
28,araujo2016snake,2016,All,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None
29,fang2020wireality,2020,1.2.2 Shape,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
30,yatani2012spacesense,2012,3.0 Abstracted,None,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
31,rekimoto2014traxion,2013,3.0 Abstracted,None,2.3 Forces/Constraint Across Joint,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,None
32,tsai2019elasticvr,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
32,tsai2019elasticvr,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material
32,tsai2019elasticvr,2019,1.5 Force/Motion,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
32,tsai2019elasticvr,2019,1.5 Force/Motion,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material
33,choi2016wolverine,2016,1.2.2 Shape,5.0 Enclosure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,8.0 Track + Brake
34.1,hinchet2018dextres,2018,None,5.0 Enclosure - Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,2.0 Material,7.0 String + Brake
34.2,hinchet2018dextres,2018,None,None,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None
35,lee2019torc,2019,1.1.3 Texture,1.0 Lateral Motion,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
35,lee2019torc,2019,1.1.3 Texture,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
35,lee2019torc,2019,1.1.1 Compliance,1.0 Lateral Motion,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
35,lee2019torc,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
36.1,choi2017grabity,2017,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake
36.1,choi2017grabity,2017,1.2.1 Size,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake
36.2,choi2017grabity,2017,1.3.1 Mass,4.0 Unsupported Holding,2.1 Stretch On Skin,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake
37.1,choi2018claw,2018,1.2.1 Size,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.1,choi2018claw,2018,1.2.1 Size,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.1,choi2018claw,2018,1.2.1 Size,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.1,choi2018claw,2018,1.4  Mechanical Mechanisms,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.1,choi2018claw,2018,1.4  Mechanical Mechanisms,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.1,choi2018claw,2018,1.4  Mechanical Mechanisms,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.2,choi2018claw,2018,1.1.3 Texture,Grasp,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.2,choi2018claw,2018,1.1.3 Texture,9.3 Touch,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
37.2,choi2018claw,2018,1.1.3 Texture,2.0 Pressure,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
38,sinclair2019capstancrunch,2019,1.1.1 Compliance,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
38,sinclair2019capstancrunch,2019,1.1.1 Compliance,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
38,sinclair2019capstancrunch,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
38,sinclair2019capstancrunch,2019,1.2.1 Size,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
38,sinclair2019capstancrunch,2019,1.2.1 Size,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
38,sinclair2019capstancrunch,2019,1.2.1 Size,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake
39,zhou2014rml,2015,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
39,zhou2014rml,2015,1.1.1 Compliance,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
39,zhou2014rml,2015,1.2.2 Shape,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
39,zhou2014rml,2015,1.2.2 Shape,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
40,ben2014sensing,2015,Not Specified,9.2 Passive,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
41,sarakoglou2016hexotrac,2016,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
41,sarakoglou2016hexotrac,2016,1.1.1 Compliance,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
41,sarakoglou2016hexotrac,2016,1.2.2 Shape,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
41,sarakoglou2016hexotrac,2016,1.2.2 Shape,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
42,gabardi2016new,2016,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
42,gabardi2016new,2016,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
42,gabardi2016new,2016,1.1.3 Texture,3.0 Static Contact,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
42,gabardi2016new,2016,1.1.3 Texture,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
43,kim2016hapthimble,2016,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
43,kim2016hapthimble,2016,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
43,kim2016hapthimble,2016,1.1.3 Texture,3.0 Static Contact,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
43,kim2016hapthimble,2016,1.1.3 Texture,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
44,chinello2015design,2015,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
44,chinello2015design,2015,1.1.3 Texture,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
45,kim2021heterogeneous,2021,1.2.2 Shape,6.0 Function Test,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
46,yoshida2020pocopo,2020,1.1.2 Curvature,3.0 Static Contact,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
46,yoshida2020pocopo,2020,1.2.2 Shape,3.0 Static Contact,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
47,bianchi2016wearable,2016,1.1.1 Compliance,2.0 Pressure,1.1 Partial Proximate Object,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material
48,mazursky2021magnetio,2021,3.0 Abstracted,6.0 Function Test,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None
49,nakanishi2014remote,2014,Others,Others,1.0 Whole Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
50,young20215.0 Ungrounded,2021,1.2.2 Shape,3.0 Static Contact,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
50,young20215.0 Ungrounded,2021,1.2.2 Shape,2.0 Pressure,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
50,young20215.0 Ungrounded,2021,1.3.1 Mass,3.0 Static Contact,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
50,young20215.0 Ungrounded,2021,1.3.1 Mass,2.0 Pressure,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
51,yun2019soft,2020,Not Specified,9.2 Passive,2.1 Stretch On Skin,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,2.0 Material,1.0 Spatial Distribution
52,schorr2017fingertip,2017,1.1.3 Texture,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
52,schorr2017fingertip,2017,1.1.3 Texture,4.0 Unsupported Holding,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
52,schorr2017fingertip,2017,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
52,schorr2017fingertip,2017,1.1.1 Compliance,4.0 Unsupported Holding,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
52,schorr2017fingertip,2017,1.3.1 Mass,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
52,schorr2017fingertip,2017,1.3.1 Mass,4.0 Unsupported Holding,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
53,chinello2017three,2018,1.1.1 Compliance,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
53,chinello2017three,2018,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
54,leonardis20163,2017,1.1.1 Compliance,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
54,leonardis20163,2017,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
55,chen2019fw,2019,1.1.3 Texture,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None
55,chen2019fw,2019,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None
55,chen2019fw,2019,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None
55,chen2019fw,2019,1.1.1 Compliance,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None
56,singhal2021juicy,2021,1.1.1 Compliance,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
56,singhal2021juicy,2021,1.5 Force/Motion,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
57,quek2015sensory,2015,Not Specified,9.1. Tool-Mediated,2.1 Stretch On Skin,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
58,han2017frictio,2017,3.0 Abstracted,Others,2.3 Forces/Constraint Across Joint,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,8.0 Track + Brake
59,culbertson2017waves,2017,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,4.0 Asysmetric Vibration
60,tong2017magnetic,2018,1.1.1 Compliance,9.1. Tool-Mediated,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,1.0 Spatial Distribution
61,zarate2020contact,2020,Not Specified,9.1. Tool-Mediated,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,None
62,foo2019iterative,2019,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution
63,delazio2018force,2018,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
63,delazio2018force,2018,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
64,zhu2020pneusleeve,2020,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
64,zhu2020pneusleeve,2020,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
65,muthukumarana2020touch,2020,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution
65,muthukumarana2020touch,2020,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution
66,han2018hydroring,2018,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others
66,han2018hydroring,2018,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others
66,han2018hydroring,2018,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others
66,han2018hydroring,2018,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others
67,han2020hapbead,2020,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others
67,han2020hapbead,2020,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others
68,hamdan2019springlets,2019,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,5.0 Modularization
68,hamdan2019springlets,2019,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution
69,ion2015skin,2015,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
70,tseng2020skin,2020,3.0 Abstracted,9.2 Passive,Others,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
71,je2018pokering,2018,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution
72,pece2017magtics,2017,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution
